team	wk	period
SF	7	Thursday evening
Jax (London)	7	Sunday morning
Det	7	Sunday morning
Ind	7	Sunday morning
KC	7	Sunday morning
Mia	7	Sunday morning
NE	7	Sunday morning
StL	7	Sunday morning
Ten	7	Sunday morning
Wsh	7	Sunday morning
SD	7	Sunday afternoon
NYG	7	Sunday afternoon
Car	7	Sunday evening
Ari	7	Monday evening
NE	8	Thursday evening
KC (London)	8	Sunday morning
Atl	8	Sunday morning
Bal	8	Sunday morning
Chi	8	Sunday morning
Cle	8	Sunday morning
Hou	8	Sunday morning
NO	8	Sunday morning
Pit	8	Sunday morning
StL	8	Sunday morning
Oak	8	Sunday afternoon
Dal	8	Sunday afternoon
Den	8	Sunday evening
Car	8	Monday evening
Cin	9	Thursday evening
Buf	9	Sunday morning
Car	9	Sunday morning
Min	9	Sunday morning
NE	9	Sunday morning
NO	9	Sunday morning
NYJ	9	Sunday morning
Pit, 1pm	9	Sunday morning
SF	9	Sunday afternoon
TB	9	Sunday afternoon
Ind	9	Sunday afternoon
Dal	9	Sunday evening
SD	9	Monday evening
NYJ	10	Thursday evening
Bal	10	Sunday morning
GB	10	Sunday morning
Phi	10	Sunday morning
Pit	10	Sunday morning
StL	10	Sunday morning
TB	10	Sunday morning
Ten	10	Sunday morning
Wsh	10	Sunday morning
Oak	10	Sunday afternoon
Den	10	Sunday afternoon
NYG	10	Sunday afternoon
Sea	10	Sunday evening
Cin	10	Monday evening
Jax	11	Thursday evening
Atl	11	Sunday morning
Bal	11	Sunday morning
Car	11	Sunday morning
Chi	11	Sunday morning
Det	11	Sunday morning
Hou	11	Sunday morning
Mia	11	Sunday morning
Min	11	Sunday morning
Phi	11	Sunday morning
Ari	11	Sunday afternoon
Sea	11	Sunday afternoon
SD	11	Sunday evening
NE	11	Monday evening
Det	12	Thursday evening
Dal	12	Thursday afternoon
GB	12	Thursday evening
Atl	12	Sunday morning
Cin	12	Sunday morning
Hou	12	Sunday morning
Ind	12	Sunday morning
Jax	12	Sunday morning
KC	12	Sunday morning
NYJ	12	Sunday morning
Ten	12	Sunday morning
Wsh	12	Sunday morning
SF	12	Sunday afternoon
Sea	12	Sunday afternoon
Den	12	Sunday evening
Cle	12	Monday evening
Det	13	Thursday evening
Buf	13	Sunday morning
Chi	13	Sunday morning
Cle	13	Sunday morning
Mia	13	Sunday morning
Min	13	Sunday morning
NO	13	Sunday morning
NYG	13	Sunday morning
StL	13	Sunday morning
TB	13	Sunday morning
Ten	13	Sunday morning
Oak	13	Sunday afternoon
SD	13	Sunday afternoon
NE	13	Sunday afternoon
Pit	13	Sunday evening
Wsh	13	Monday evening
Ari	14	Thursday evening
Car	14	Sunday morning
Chi	14	Sunday morning
Cin	14	Sunday morning
Cle	14	Sunday morning
Hou	14	Sunday morning
Jax	14	Sunday morning
KC	14	Sunday morning
NYJ	14	Sunday morning
Phi	14	Sunday morning
StL	14	Sunday morning
TB	14	Sunday morning
Den	14	Sunday afternoon
GB	14	Sunday afternoon
Bal	14	Sunday evening
Mia	14	Monday evening
StL	15	Thursday evening
Dal	15	Saturday evening
Bal	15	Sunday morning
Ind	15	Sunday morning
Jax	15	Sunday morning
Min	15	Sunday morning
NE	15	Sunday morning
NYG	15	Sunday morning
Phi	15	Sunday morning
Wsh	15	Sunday morning
Oak	15	Sunday afternoon
Sea	15	Sunday afternoon
Pit	15	Sunday afternoon
SD	15	Sunday afternoon
SF	15	Sunday evening
NO	15	Monday evening
Oak	16	Thursday evening
Phi	16	Saturday evening
Atl	16	Sunday morning
Buf	16	Sunday morning
Det	16	Sunday morning
KC	16	Sunday morning
Mia	16	Sunday morning
Min	16	Sunday morning
NO	16	Sunday morning
NYJ	16	Sunday morning
TB	16	Sunday morning
Ten	16	Sunday morning
Ari	16	Sunday afternoon
Sea	16	Sunday afternoon
Bal	16	Sunday evening
Den	16	Monday evening
Atl	17	Sunday morning
Buf	17	Sunday morning
Car	17	Sunday morning
Chi	17	Sunday morning
Cin	17	Sunday morning
Cle	17	Sunday morning
Dal	17	Sunday morning
GB	17	Sunday morning
Hou	17	Sunday morning
Ind	17	Sunday morning
KC	17	Sunday morning
Mia	17	Sunday morning
NYG	17	Sunday morning
Ari	17	Sunday afternoon
Den	17	Sunday afternoon
SF	17	Sunday afternoon
Pit	1	Thursday evening
Ind	1	Sunday morning
GB	1	Sunday morning
KC	1	Sunday morning
Car	1	Sunday morning
Cle	1	Sunday morning
Sea	1	Sunday morning
Mia	1	Sunday morning
NO	1	Sunday afternoon
Det	1	Sunday afternoon
Bal	1	Sunday afternoon
Cin	1	Sunday afternoon
Ten	1	Sunday afternoon
NYG	1	Sunday evening
Phi	1	Monday evening
Min	1	Monday evening
Den	2	Thursday evening
NE	2	Sunday morning
Hou	2	Sunday morning
Ari	2	Sunday morning
SD	2	Sunday morning
Ten	2	Sunday morning
Det	2	Sunday morning
TB	2	Sunday morning
Atl	2	Sunday morning
SF	2	Sunday morning
StL	2	Sunday morning
Mia	2	Sunday afternoon
Bal	2	Sunday afternoon
Dal	2	Sunday afternoon
Sea	2	Sunday evening
NYJ	2	Monday evening
Wsh	3	Thursday evening
Cin	3	Sunday morning
NO	3	Sunday morning
Oak	3	Sunday morning
Atl	3	Sunday morning
TB	3	Sunday morning
SD	3	Sunday morning
Jax	3	Sunday morning
Phi	3	Sunday morning
Pit	3	Sunday morning
Ind	3	Sunday morning
SF	3	Sunday afternoon
Buf	3	Sunday afternoon
Chi	3	Sunday afternoon
Den	3	Sunday evening
KC	3	Monday evening
Bal	4	Thursday evening
NYJ	4	Sunday morning
Hou	4	Sunday morning
NYG	4	Sunday morning
Oak	4	Sunday morning
KC	4	Sunday morning
Jax	4	Sunday morning
Car	4	Sunday morning
Phi	4	Sunday morning
Cle	4	Sunday afternoon
StL	4	Sunday afternoon
Min	4	Sunday afternoon
GB	4	Sunday afternoon
Dal	4	Sunday evening
Det	4	Monday evening
Ind	5	Thursday evening
Wsh	5	Sunday morning
Cle	5	Sunday morning
Sea	5	Sunday morning
StL	5	Sunday morning
Chi	5	Sunday morning
NO	5	Sunday morning
Jax	5	Sunday morning
Buf	5	Sunday morning
Ari	5	Sunday afternoon
NE	5	Sunday afternoon
Den	5	Sunday afternoon
SF	5	Sunday evening
Pit	5	Monday evening
Atl	6	Thursday evening
Cin	6	Sunday morning
Den	6	Sunday morning
Chi	6	Sunday morning
Hou	6	Sunday morning
KC	6	Sunday morning
Wsh	6	Sunday morning
Ari	6	Sunday morning
Mia	6	Sunday morning
Car	6	Sunday afternoon
SD	6	Sunday afternoon
Bal	6	Sunday afternoon
NE	6	Sunday evening
NYG	6	Monday evening
Sea	7	Thursday evening
Buf	7	Sunday morning
Min	7	Sunday morning
NO	7	Sunday morning
Pit	7	Sunday morning
Hou	7	Sunday morning
NYJ	7	Sunday morning
Cle	7	Sunday morning
Atl	7	Sunday morning
TB	7	Sunday morning
Oak	7	Sunday afternoon
Dal	7	Sunday afternoon
Phi	7	Sunday evening
Bal	7	Monday evening
Mia	8	Thursday evening
Det	8	Sunday morning
TB	8	Sunday morning
SD	8	Sunday morning
Min	8	Sunday morning
Ari	8	Sunday morning
Ten	8	Sunday morning
NYG	8	Sunday morning
Cin	8	Sunday morning
SF	8	Sunday morning
NYJ	8	Sunday afternoon
Sea	8	Sunday afternoon
GB	8	Sunday evening
Ind	8	Monday evening
Cle	9	Thursday evening
Mia	9	Sunday morning
GB	9	Sunday morning
StL	9	Sunday morning
Wsh	9	Sunday morning
Ten	9	Sunday morning
Jax	9	Sunday morning
Oak	9	Sunday morning
Atl	9	Sunday afternoon
NYG	9	Sunday afternoon
Den	9	Sunday afternoon
Phi	9	Sunday evening
Chi	9	Monday evening
Buf	10	Thursday evening
Jax	10	Sunday morning
Det	10	Sunday morning
Mia	10	Sunday morning
Cle	10	Sunday morning
Chi	10	Sunday morning
Dal	10	Sunday morning
Car	10	Sunday morning
NO	10	Sunday morning
Min	10	Sunday afternoon
KC	10	Sunday afternoon
NE	10	Sunday afternoon
Ari	10	Sunday evening
Hou	10	Monday evening
Ten	11	Thursday evening
Ind	11	Sunday morning
StL	11	Sunday morning
Wsh	11	Sunday morning
Den	11	Sunday morning
Oak	11	Sunday morning
NYJ	11	Sunday morning
Dal	11	Sunday morning
GB	11	Sunday morning
TB	11	Sunday morning
Cin	11	Sunday afternoon
SF	11	Sunday afternoon
KC	11	Sunday evening
Buf	11	Monday evening
Phi	12	Thursday evening
Car	12	Thursday afternoon
Chi	12	Thursday evening
Min	12	Sunday morning
StL	12	Sunday morning
NO	12	Sunday morning
TB	12	Sunday morning
SD	12	Sunday morning
Buf	12	Sunday morning
Mia	12	Sunday morning
Oak	12	Sunday morning
NYG	12	Sunday morning
Ari	12	Sunday afternoon
Pit	12	Sunday afternoon
NE	12	Sunday evening
Bal	12	Monday evening
GB	13	Thursday evening
Hou	13	Sunday morning
SF	13	Sunday morning
Cin	13	Sunday morning
Bal	13	Sunday morning
Sea	13	Sunday morning
Car	13	Sunday morning
NYJ	13	Sunday morning
Ari	13	Sunday morning
Atl	13	Sunday morning
Jax	13	Sunday morning
KC	13	Sunday afternoon
Den	13	Sunday afternoon
Phi	13	Sunday afternoon
Ind	13	Sunday evening
Dal	13	Monday evening
Min	14	Thursday evening
Atl	14	Sunday morning
Wsh	14	Sunday morning
Pit	14	Sunday morning
SF	14	Sunday morning
NE	14	Sunday morning
Ind	14	Sunday morning
SD	14	Sunday morning
Ten	14	Sunday morning
Buf	14	Sunday morning
Det	14	Sunday morning
NO	14	Sunday morning
Oak	14	Sunday afternoon
Dal	14	Sunday afternoon
Sea	14	Sunday evening
NYG	14	Monday evening
TB	15	Thursday evening
NYJ	15	Saturday evening
KC	15	Sunday morning
Hou	15	Sunday morning
Atl	15	Sunday morning
Chi	15	Sunday morning
