iteration_num	sequential_player	serpentine_player	choice	sum	sd	spot	true_rank	rank	sum_rank	sd_rank	num_players
8	Player2	Player2	Pick #2	11.88	2.63	s10	10.5	2	5	24	Four players
8	Player3	Player3	Pick #3	13.95	0.65	s7	14	4	3	9	Four players
8	Player4	Player4	Pick #4	10.7	2.1	s12	16	6	6	17	Four players
8	Player1	Player4	Pick #5	9.15	1.8	s5	24	10	9	15	Four players
8	Player2	Player3	Pick #6	8.98	1.54	s17	28.5	11	11	12	Four players
8	Player3	Player2	Pick #7	7.99	2.43	s1	28.5	12	13	20	Four players
8	Player4	Player1	Pick #8	6.43	0.14	s14	47.5	19	17	1	Four players
8	Player1	Player1	Pick #1	12.05	1.51	s23	8.5	1	1	12	Four players
8	Player2	Player2	Pick #2	11.05	1.69	s15	10	2	2	13	Four players
8	Player3	Player3	Pick #3	10.75	1.01	s8	17	4	4	7	Four players
8	Player4	Player4	Pick #4	10.71	1.03	s17	20.5	6	6	8	Four players
8	Player1	Player4	Pick #5	10.73	0.14	s1	22	7	5	1	Four players
8	Player2	Player3	Pick #6	10.25	0.65	s10	23.5	9	7	6	Four players
8	Player3	Player2	Pick #7	7.96	2.62	s13	37.5	14	18	22	Four players
8	Player4	Player1	Pick #8	7.2	2.76	s5	39	16	19	23	Four players
8	Player1	Player1	Pick #1	11.91	1.77	s6	6.5	1	1	18	Four players
8	Player2	Player2	Pick #2	11.81	1.14	s12	12	2	3	13	Four players
8	Player3	Player3	Pick #3	11.91	0.51	s1	12	3	1	7	Four players
8	Player4	Player4	Pick #4	10.57	1.5	s24	19	6	7	15	Four players
8	Player1	Player4	Pick #5	10.99	0.37	s10	21	7	5	3	Four players
8	Player2	Player3	Pick #6	10.43	0.93	s17	23.5	9	8	10	Four players
8	Player3	Player2	Pick #7	9.39	1.82	s14	35	15	16	19	Four players
8	Player4	Player1	Pick #8	9.83	0.3	s20	39.5	16	14	2	Four players
8	Player1	Player1	Pick #1	11.87	1.61	s23	7	1	1	15	Four players
8	Player2	Player2	Pick #2	10.99	1.13	s5	12.5	4	3	12	Four players
8	Player3	Player3	Pick #3	10.81	1.34	s1	16.5	5	5	14	Four players
8	Player4	Player4	Pick #4	10.81	0.42	s8	21	6	5	5	Four players
8	Player1	Player4	Pick #5	10.52	0.79	s21	23	7	7	7	Four players
8	Player2	Player3	Pick #6	10.35	0.75	s17	25.5	8	8	6	Four players
8	Player3	Player2	Pick #7	9.9	0.05	s10	33.75	13	11	1	Four players
8	Player4	Player1	Pick #8	8.69	2.54	s13	35.5	15	17	22	Four players
8	Player1	Player1	Pick #1	13.53	2.02	s20	10	1	2	15	Four players
8	Player2	Player2	Pick #2	12.73	2.43	s18	10	2	4	21	Four players
8	Player3	Player3	Pick #3	10.84	2.93	s2	15	5	7	23	Four players
8	Player4	Player4	Pick #4	13.53	0.02	s24	17	6	2	1	Four players
8	Player1	Player4	Pick #5	10.7	0.9	s12	27.5	9	8	4	Four players
8	Player2	Player3	Pick #6	9.9	1.45	s16	30.75	12	11	9	Four players
8	Player3	Player2	Pick #7	9.07	1.57	s5	36.5	15	15	12	Four players
8	Player4	Player1	Pick #8	7.97	1.59	s14	40	16	17	13	Four players
8	Player1	Player1	Pick #1	12.06	1.51	s7	7.5	1	2	18	Four players
8	Player2	Player2	Pick #2	11.23	1.09	s21	15.75	3	4	11	Four players
8	Player3	Player3	Pick #3	11.7	0.68	s1	16.5	5	3	4	Four players
8	Player4	Player4	Pick #4	11.12	1.09	s5	19.5	6	6	10	Four players
8	Player1	Player4	Pick #5	10.41	0.84	s10	26	9	8	5	Four players
